         27760 function calls (27248 primitive calls) in 427.688 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.000    0.000 <string>:1(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.088    0.088 __init__.py:109(import_module)
        1    0.000    0.000    0.029    0.029 __init__.py:15(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        5    0.001    0.000    0.001    0.000 __init__.py:316(namedtuple)
       19    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        9    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        2    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
      7/2    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 argparse.py:1005(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1028(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1030(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1047(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:105(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1073(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1075(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1171(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1225(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1232(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1245(_ActionsContainer)
        3    0.000    0.000    0.001    0.000 argparse.py:1247(__init__)
       34    0.000    0.000    0.000    0.000 argparse.py:1299(register)
       74    0.000    0.000    0.000    0.000 argparse.py:1303(_registry_get)
       31    0.000    0.000    0.003    0.000 argparse.py:1328(add_argument)
        2    0.000    0.000    0.000    0.000 argparse.py:1375(add_argument_group)
       31    0.000    0.000    0.000    0.000 argparse.py:1385(_add_action)
       31    0.000    0.000    0.000    0.000 argparse.py:1465(_get_optional_kwargs)
       31    0.000    0.000    0.000    0.000 argparse.py:1501(_pop_action_class)
        3    0.000    0.000    0.000    0.000 argparse.py:1505(_get_handler)
       31    0.000    0.000    0.000    0.000 argparse.py:1514(_check_conflict)
        1    0.000    0.000    0.000    0.000 argparse.py:152(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1552(_ArgumentGroup)
        2    0.000    0.000    0.000    0.000 argparse.py:1554(__init__)
       31    0.000    0.000    0.000    0.000 argparse.py:1576(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1586(_MutuallyExclusiveGroup)
       31    0.000    0.000    0.001    0.000 argparse.py:159(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1606(ArgumentParser)
        1    0.000    0.000    0.002    0.002 argparse.py:1625(__init__)
       31    0.000    0.000    0.000    0.000 argparse.py:1734(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1746(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 argparse.py:1747(<listcomp>)
        1    0.000    0.000    0.001    0.001 argparse.py:1754(parse_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1761(parse_known_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1796(_parse_known_args)
       11    0.000    0.000    0.000    0.000 argparse.py:1843(take_action)
       11    0.000    0.000    0.001    0.000 argparse.py:1864(consume_optional)
        1    0.000    0.000    0.000    0.000 argparse.py:1941(consume_positionals)
       11    0.000    0.000    0.000    0.000 argparse.py:1971(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:202(_Section)
       31    0.000    0.000    0.000    0.000 argparse.py:204(__init__)
       11    0.000    0.000    0.001    0.000 argparse.py:2071(_match_argument)
        1    0.000    0.000    0.000    0.000 argparse.py:2093(_match_arguments_partial)
       21    0.000    0.000    0.000    0.000 argparse.py:2109(_parse_optional)
       11    0.000    0.000    0.000    0.000 argparse.py:2212(_get_nargs_pattern)
       11    0.000    0.000    0.000    0.000 argparse.py:2345(_get_values)
        1    0.000    0.000    0.000    0.000 argparse.py:2394(<listcomp>)
       12    0.000    0.000    0.000    0.000 argparse.py:2401(_get_value)
       10    0.000    0.000    0.000    0.000 argparse.py:2427(_check_value)
       31    0.000    0.000    0.001    0.000 argparse.py:2467(_get_formatter)
       31    0.000    0.000    0.000    0.000 argparse.py:572(_metavar_formatter)
       31    0.000    0.000    0.000    0.000 argparse.py:581(format)
       31    0.000    0.000    0.000    0.000 argparse.py:588(_format_args)
        9    0.000    0.000    0.000    0.000 argparse.py:605(<listcomp>)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:656(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:667(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:678(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:695(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:728(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:748(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:757(Action)
       31    0.000    0.000    0.000    0.000 argparse.py:808(__init__)
