         27760 function calls (27248 primitive calls) in 427.688 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 subprocess.py:875(__del__)
        3    0.000    0.000    0.011    0.004 subprocess.py:920(communicate)
        1    0.000    0.000    0.000    0.000 subprocess.py:97(TimeoutExpired)
      258    0.000    0.000    0.003    0.000 subprocess.py:988(poll)
        1    0.000    0.000    0.010    0.010 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1116(daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1153(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1183(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1185(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1202(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:204(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:335(notify)
        1    0.000    0.000    0.000    0.000 threading.py:358(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:370(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:450(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:488(Event)
        1    0.000    0.000    0.000    0.000 threading.py:499(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:513(set)
        1    0.000    0.000    0.000    0.000 threading.py:567(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:721(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 threading.py:744(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:763(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:88(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:896(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:899(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:108(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:109(maybe)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:212(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:214(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:217(Untokenizer)
        1    0.000    0.000    0.000    0.000 tokenize.py:94(TokenInfo)
        1    0.000    0.000    0.008    0.008 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:315(StackSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:437(TracebackException)
       34    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        5    0.000    0.000    0.000    0.000 utils.py:31(is_file_exists)
        5    0.000    0.000    0.000    0.000 utils.py:37(file_path_from)
        2    0.000    0.000    0.012    0.006 utils.py:45(is_command_exists)
        2    0.000    0.000    0.012    0.006 utils.py:56(executable_command_string_from)
        3    0.000    0.000    0.007    0.002 utils.py:64(subprocess_popen)
        3    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        3    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        3    0.000    0.000    0.000    0.000 warnings.py:449(__init__)
        3    0.000    0.000    0.000    0.000 warnings.py:470(__enter__)
        3    0.000    0.000    0.000    0.000 warnings.py:489(__exit__)
      143    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x560c9f0778e0}
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      7/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
       28    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      218    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       12    0.010    0.001    0.010    0.001 {built-in method _imp.create_dynamic}
       12    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       33    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       41    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      218    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        6    0.003    0.001    0.003    0.001 {built-in method _posixsubprocess.fork_exec}
       86    0.000    0.000    0.000    0.000 {built-in method _signal.alarm}
        1    0.000    0.000    0.000    0.000 {built-in method _signal.signal}
        9    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        3    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
       95    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      105    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        9    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
    91/89    0.002    0.000    0.004    0.000 {built-in method builtins.__build_class__}
      7/2    0.000    0.000    0.031    0.016 {built-in method builtins.__import__}
       47    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       74    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
     34/1    0.001    0.000  427.688  427.688 {built-in method builtins.exec}
      450    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      741    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2187    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       63    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
  733/704    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       36    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      107    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       35    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      174    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       84    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        9    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        5    0.000    0.000    0.000    0.000 {built-in method io.open}
       28    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        3    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        6    0.000    0.000    0.000    0.000 {built-in method posix.WEXITSTATUS}
        6    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
        6    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
       17    0.000    0.000    0.000    0.000 {built-in method posix.close}
        2    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
      177    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       35    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        4    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       11    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        6    0.005    0.001    0.005    0.001 {built-in method posix.read}
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
      213    0.015    0.000    0.015    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
    173/4  422.552    2.442  422.556  105.639 {built-in method posix.waitpid}
        5    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exit}
        5    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f51b38bb830}
       19    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      256    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      216    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      913    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        6    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       73    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
       89    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       53    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      239    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      145    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       11    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       11    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       15    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
     1311    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       13    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       37    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
  744/743    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       31    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      147    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        7    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       76    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.011    0.004    0.011    0.004 {method 'read' of '_io.BufferedReader' objects}
       28    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      965    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      169    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       14    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       65    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      320    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
     1193    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       47    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       14    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
     1283    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       17    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}


